Flag,Student_Number,Total_Mark
Not Flagged,400060179,0/0
Not Flagged,400060342,0/0
Not Flagged,400060435,0/0
Not Flagged,400060635,0/0
Not Flagged,400060767,0/0
Not Flagged,400061106,0/0
Not Flagged,400061322,0/0
Not Flagged,400061442,0/0
Not Flagged,400062025,0/0
Not Flagged,400062216,0/0
Not Flagged,400062548,0/0
Not Flagged,400062892,0/0
Not Flagged,400062975,0/0
Not Flagged,400063056,0/0
Not Flagged,400063479,0/0
Not Flagged,400063849,0/0
Not Flagged,400063860,0/0
Not Flagged,400064984,0/0
Not Flagged,400065758,0/0
Not Flagged,400065807,0/0
Not Flagged,400066300,0/0
Not Flagged,400066847,0/0
Not Flagged,400067208,0/0
Not Flagged,400067640,0/0
Not Flagged,400068005,0/0
Not Flagged,400068047,0/0
Not Flagged,400068231,1/20
Not Flagged,400068241,0/0
Not Flagged,400068540,1/20
Not Flagged,400069152,20/20
Not Flagged,400069194,0/0
Not Flagged,400069338,0/0
Not Flagged,400069502,0/0
Not Flagged,400069592,0/0
Not Flagged,400069623,0/0
Not Flagged,400070110,0/0
Not Flagged,400070401,0/0
Not Flagged,400070515,20/20
Not Flagged,400070592,0/0
Not Flagged,400070729,0/0
Not Flagged,400070777,0/0
Not Flagged,400071024,0/0
Not Flagged,400071290,0/0
Not Flagged,400071563,0/0
Not Flagged,400071587,20/20
Not Flagged,400071732,0/0
Not Flagged,400072022,0/0
Not Flagged,400072182,1/20
Not Flagged,400072361,1/20
Not Flagged,400072509,0/0
Not Flagged,400072933,0/0
Not Flagged,400073044,0/0
Not Flagged,400073542,0/0
Not Flagged,400073712,0/0
Not Flagged,400073966,20/20
Not Flagged,400074347,15/20
Not Flagged,400074360,0/0
Not Flagged,400074791,0/0
Not Flagged,400075231,15/20
Not Flagged,400075386,0/0
Not Flagged,400075474,0/0
Not Flagged,400075626,0/0
Not Flagged,400075874,0/0
Not Flagged,400076074,20/20
Not Flagged,400076182,0/0
Not Flagged,400076796,0/0
Not Flagged,400076928,0/0
Not Flagged,400076957,0/0
Not Flagged,400077493,0/0
Not Flagged,400077933,0/0
Not Flagged,400078424,0/0
Not Flagged,400078605,0/0
Not Flagged,400078663,0/0
Not Flagged,400078672,0/0
Not Flagged,400078750,0/0
Not Flagged,400079171,0/0
Not Flagged,400079284,0/0
Not Flagged,400079523,0/0
Not Flagged,400079696,0/0
Not Flagged,400079802,0/0
Not Flagged,400079956,0/0
Not Flagged,400080019,0/0
Not Flagged,400080582,0/0
Not Flagged,400080694,0/0
Not Flagged,400080701,0/0
Not Flagged,400081385,0/0
Not Flagged,400081469,0/0
Not Flagged,400081946,0/0
Not Flagged,400081979,20/20
Not Flagged,400082178,0/0
Not Flagged,400082219,0/0
Not Flagged,400082347,0/0
Not Flagged,400082417,0/0
Not Flagged,400082798,0/0
Not Flagged,400082943,0/0
Not Flagged,400083469,0/0
Not Flagged,400084231,1/20
Not Flagged,400084437,0/0
Not Flagged,400084536,0/0
Not Flagged,400084916,0/0
Not Flagged,400085093,0/0
Not Flagged,400085209,0/0
Not Flagged,400085738,0/0
Not Flagged,400086170,20/20
Not Flagged,400086210,0/0
Not Flagged,400086682,0/0
Not Flagged,400087533,0/0
Not Flagged,400087713,0/0
Not Flagged,400088533,0/0
Not Flagged,400088812,0/0
Not Flagged,400089343,0/0
Not Flagged,400089750,0/0
Not Flagged,400090516,0/0
Not Flagged,400090521,0/0
Not Flagged,400090649,0/0
Not Flagged,400091401,0/0
Not Flagged,400091601,0/0
Not Flagged,400091904,0/0
Not Flagged,400091993,0/0
Not Flagged,400092132,0/0
Not Flagged,400092211,0/0
Not Flagged,400092660,0/0
Not Flagged,400092813,0/0
Not Flagged,400092904,20/20
Not Flagged,400093147,0/0
Not Flagged,400093790,0/0
Not Flagged,400094788,0/0
Not Flagged,400094889,20/20
Not Flagged,400094982,0/0
Not Flagged,400095546,0/0
Not Flagged,400095829,20/20
Not Flagged,400096105,0/0
Not Flagged,400096160,0/0
Not Flagged,400096258,0/0
Not Flagged,400096667,15/20
Not Flagged,400096868,0/0
Not Flagged,400096905,0/0
Not Flagged,400097354,1/20
Not Flagged,400097636,0/0
Not Flagged,400097683,0/0
Not Flagged,400097740,0/0
Not Flagged,400098000,20/20
Not Flagged,400098051,0/0
Not Flagged,400098091,0/0
Not Flagged,400098689,0/0
Not Flagged,400098774,15/20
Not Flagged,400099133,0/0
Not Flagged,400099149,0/0
Not Flagged,400099418,0/0
Not Flagged,400099508,0/0
Not Flagged,400099739,0/0
Not Flagged,400099999,20/20
Not Flagged,400011112,20/20
Not Flagged,400011113,20/20
Not Flagged,400011111,33/40
Not Flagged,400044444,20/20
